contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
candidate_mono_seed4,homogeneous,31000-31039,40,128,24.51488966697734,107.89701464867778,660.0,54.45870666903168,3.80859375,1.3295783643478327,-0.5384090240162356,0.21162914332023214
candidate_mono_seed4,homogeneous,32000-32039,40,128,23.460930963346918,660.0,660.0,78.03411536426324,7.656250000000001,3.2198331740320074,-0.8141674846594429,0.2263928800925322
candidate_mono_seed4,homogeneous,33000-33039,40,128,23.86305861633292,114.0250788803388,660.0,56.00802879579535,4.1015625,1.9284004179257785,-0.5812683487624122,0.21595301891082724
candidate_mono_seed4,homogeneous,34000-34039,40,128,24.167500282213183,336.2146733243316,660.0,61.77422212661973,5.21484375,2.0807237088320987,-0.6326295053032129,0.2176107295234589
candidate_maxxer_seed0,homogeneous,30000-30039,40,128,23.170763801322714,660.0,660.0,83.64670989203069,11.5625,4.711504914321798,-0.9739067288600189,0.2399273356663863
candidate_maxxer_seed0,homogeneous,31000-31039,40,128,25.08327474880086,565.8566911944902,660.0,99.92685267871471,17.55859375,5.975695667344971,-1.223976475723511,0.2479907270169172
candidate_maxxer_seed0,homogeneous,32000-32039,40,128,23.89084965445999,660.0,660.0,116.89860314942152,19.453125,7.857013336148058,-1.4327664416514225,0.2581571862932246
candidate_maxxer_seed0,homogeneous,33000-33039,40,128,24.327137444868843,561.4915536881621,660.0,92.28145973688375,15.351562499999998,5.506230202389177,-1.1249283167199073,0.2424637192839813
candidate_maxxer_seed0,homogeneous,34000-34039,40,128,24.680493772818167,552.6726568141423,660.0,87.14599888672771,13.80859375,5.119232944857144,-1.0546421669256376,0.23868621103385043
candidate_maxxer_seed1,homogeneous,30000-30039,40,128,23.009278266065586,259.8230177385767,400.70253982358025,54.15369704036677,11.73828125,3.8529207930287455,-0.7801578501982653,0.22538957927763953
candidate_maxxer_seed1,homogeneous,31000-31039,40,128,24.711106299275766,325.8897308535226,451.04923470183,82.62870992547131,20.87890625,5.7001363156371765,-1.1700927675721235,0.23832750114475504
candidate_maxxer_seed1,homogeneous,32000-32039,40,128,23.648512759545063,290.67086841348583,410.93608314625925,75.37696809950496,19.51171875,6.497701317414458,-1.1508577978875092,0.2401085613261099
candidate_maxxer_seed1,homogeneous,33000-33039,40,128,24.037631526146804,290.6048745247408,410.64392015704004,71.00572036968,17.40234375,5.001188804876285,-1.0196684345091396,0.2327390658740942
candidate_maxxer_seed1,homogeneous,34000-34039,40,128,24.359123438391872,282.5048502387823,404.3730633735684,65.24777401955113,15.156249999999998,4.4883596762826645,-0.9296227536782039,0.22947563567286297
candidate_maxxer_seed2,homogeneous,30000-30039,40,128,23.634618751757557,452.730673828705,660.0,73.74221719561042,11.71875,4.213139728150076,-0.9034819218803921,0.23649998767066416
candidate_maxxer_seed2,homogeneous,31000-31039,40,128,25.434778116402576,479.06468726664315,660.0,95.74064491556031,19.3359375,5.329784947348705,-1.1985991534298701,0.24160375276934562
candidate_maxxer_seed2,homogeneous,32000-32039,40,128,24.374293961748048,660.0,660.0,109.56782451793386,20.4296875,7.185904178327253,-1.3773894505897495,0.24943168520891618
candidate_maxxer_seed2,homogeneous,33000-33039,40,128,24.733043764696795,417.2381674941662,660.0,87.77232079099261,17.67578125,5.01697224429706,-1.1155380750333146,0.23977121860751036
candidate_maxxer_seed2,homogeneous,34000-34039,40,128,25.10683456810775,444.0593515341152,660.0,85.33808676747738,15.800781250000002,4.777670791764297,-1.062695578508536,0.23818337012533228
candidate_maxxer_seed3,homogeneous,30000-30039,40,128,23.312593227489135,484.80748471286887,660.0,71.5992285046123,10.9765625,3.996543450950961,-0.8664489291062722,0.2290520885532792
candidate_maxxer_seed3,homogeneous,31000-31039,40,128,25.251150525812506,497.501387387694,660.0,87.89341773683527,14.765624999999998,4.736744937989081,-1.0562601807897127,0.23402735105546196
candidate_maxxer_seed3,homogeneous,32000-32039,40,128,24.049347927370555,594.8652215145037,660.0,110.57268885556705,19.0625,7.105074464602716,-1.354528348060278,0.24574588187581403
candidate_maxxer_seed3,homogeneous,33000-33039,40,128,24.481310735670284,496.5900025773089,660.0,86.99747977230795,14.238281250000002,4.759260426056547,-1.0440427807531871,0.23413113858923412
candidate_maxxer_seed3,homogeneous,34000-34039,40,128,24.858289112680417,493.75875350654405,660.0,77.71638776204554,11.0546875,4.031432556836644,-0.9099671526129864,0.22882310409884457
candidate_maxxer_seed4,homogeneous,30000-30039,40,128,23.605121158586563,390.911490866321,563.4803573874628,65.96976131017323,11.7578125,4.016595230682881,-0.8563759373556443,0.2409563103034793
candidate_maxxer_seed4,homogeneous,31000-31039,40,128,25.403931971677984,421.501692945792,564.334402899812,88.54432866086722,18.359375,5.281946023476943,-1.1457377522207974,0.24643436622887926
candidate_maxxer_seed4,homogeneous,32000-32039,40,128,24.34342015971754,459.1014420168753,592.8308300664393,96.2650482872996,19.765625,6.945560663388406,-1.2896541144320615,0.25756466895451247
candidate_maxxer_seed4,homogeneous,33000-33039,40,128,24.709854847108826,427.0795768526842,567.2165518764839,88.01492725547172,18.0859375,5.359163596334958,-1.1416548078843276,0.24810715655143967
candidate_maxxer_seed4,homogeneous,34000-34039,40,128,25.069873666055557,407.39451738012747,557.238526304848,79.60582035318727,15.703125000000002,4.736823255208102,-1.0306169679395158,0.2427204356867035
policy_shipped,heterogeneous,30000-30039,40,128,313.13221926775543,718.6412892096483,932.4490375999192,303.8085476257557,55.13671875,17.863260027653908,-3.9623171263482404,0.5162734375
policy_shipped,heterogeneous,31000-31039,40,128,368.57587414982044,711.6443003149406,827.0543734564259,337.19257283139285,67.5390625,23.7058597670146,-4.656272117934694,0.51734423828125
policy_shipped,heterogeneous,32000-32039,40,128,344.7002482175075,750.2552555808195,892.0872909735367,310.5448544968801,56.97265625,20.981237908470316,-4.291720759767247,0.5168549804687499
policy_shipped,heterogeneous,33000-33039,40,128,427.81783054744767,754.1275092341187,902.7399758405461,383.35330886534837,69.66796875,24.139396404290377,-5.1301805627110255,0.51790673828125
policy_shipped,heterogeneous,34000-34039,40,128,295.83399522727314,745.4620921757377,860.1721059934729,305.256951794648,54.37499999999999,19.145428169778704,-4.1143821103315,0.5168022460937499
